Date,Open,High,Low,Close,Adj Close,Volume
2020-01-16,6.116923,6.149281,6.108000,6.117000,6.117000,0
2020-01-17,6.129236,6.145880,6.120046,6.127100,6.127100,0
2020-01-20,6.130879,6.137708,6.111900,6.129900,6.129900,0
2020-01-21,6.139087,6.147819,6.129900,6.137000,6.137000,0
2020-01-22,6.151366,6.160348,6.130937,6.151300,6.151300,0
2020-01-23,6.138500,6.187087,6.137500,6.141841,6.141841,0
2020-01-24,6.158900,6.174178,6.150100,6.150449,6.150449,0
2020-01-27,6.163900,6.180400,6.150200,6.163300,6.163300,0
2020-01-28,6.180400,6.191882,6.162200,6.180556,6.180556,0
2020-01-29,6.162300,6.184072,6.155600,6.162700,6.162700,0
2020-01-30,6.183300,6.209631,6.173000,6.183200,6.183200,0
2020-01-31,6.164869,6.183300,6.154000,6.164600,6.164600,0
2020-02-03,6.161851,6.213080,6.149174,6.161900,6.161900,0
2020-02-04,6.209400,6.231811,6.189144,6.209500,6.209500,0
2020-02-05,6.202800,6.230798,6.201300,6.201600,6.201600,0
2020-02-06,6.216700,6.230519,6.200600,6.217600,6.217600,0
2020-02-07,6.202200,6.210600,6.188034,6.203200,6.203200,0
2020-02-10,6.203200,6.229100,6.175100,6.203700,6.203700,0
2020-02-11,6.208000,6.227333,6.197900,6.212138,6.212138,0
2020-02-12,6.208100,6.222620,6.200300,6.208736,6.208736,0
2020-02-13,6.203320,6.236900,6.203320,6.202200,6.202200,0
2020-02-14,6.216100,6.232000,6.199560,6.216000,6.216000,0
2020-02-17,6.214000,6.228600,6.205700,6.214200,6.214200,0
2020-02-18,6.208400,6.238700,6.201354,6.207000,6.207000,0
2020-02-19,6.244026,6.244615,6.188985,6.240800,6.240800,0
2020-02-20,6.188300,6.196015,6.150400,6.189173,6.189173,0
2020-02-21,6.162180,6.170476,6.145100,6.164207,6.164207,0
2020-02-24,6.161000,6.190782,6.160000,6.162900,6.162900,0
2020-02-25,6.181700,6.200310,6.164985,6.179200,6.179200,0
2020-02-26,6.181700,6.187020,6.146000,6.181984,6.181984,0
2020-02-27,6.154700,6.193217,6.148500,6.153248,6.153248,0
2020-02-28,6.177473,6.188823,6.100567,6.176300,6.176300,0
2020-03-02,6.131500,6.138693,6.066703,6.134100,6.134100,0
2020-03-03,6.079100,6.129651,6.057700,6.080700,6.080700,0
2020-03-04,6.108332,6.139976,6.102500,6.103200,6.103200,0
2020-03-05,6.128387,6.150500,6.112773,6.131200,6.131200,0
2020-03-06,6.145890,6.155828,6.126733,6.143500,6.143500,0
2020-03-09,6.251016,6.345957,5.974000,6.268100,6.268100,0
2020-03-10,6.292018,6.307498,6.200199,6.296000,6.296000,0
2020-03-11,6.229105,6.295300,6.204700,6.231622,6.231622,0
2020-03-12,6.278300,6.466300,6.192837,6.282100,6.282100,0
2020-03-13,6.412400,6.456239,6.095064,6.379600,6.379600,0
2020-03-16,6.258232,6.335970,6.190124,6.255600,6.255600,0
2020-03-17,6.266800,6.350909,6.149384,6.262100,6.262100,0
2020-03-18,6.293600,6.513800,6.187403,6.303500,6.303500,0
2020-03-19,6.494387,6.931057,6.249154,6.482500,6.482500,0
2020-03-20,6.519703,6.847844,6.396117,6.540600,6.540600,0
2020-03-23,6.762100,6.846291,6.483285,6.784700,6.784700,0
2020-03-24,6.765900,6.794205,6.456933,6.751799,6.751799,0
2020-03-25,6.577500,6.656154,6.485000,6.595019,6.595019,0
2020-03-26,6.325700,6.421286,6.272500,6.327228,6.327228,0
2020-03-27,6.310698,6.464652,6.285897,6.315972,6.315972,0
2020-03-30,6.472700,6.550038,6.424800,6.475400,6.475400,0
2020-03-31,6.489671,6.524300,6.357238,6.503829,6.503829,0
2020-04-01,6.402918,6.404093,6.212422,6.388089,6.388089,0
2020-04-02,6.363007,6.365800,6.205023,6.368057,6.368057,0
2020-04-03,6.301500,6.348600,6.224663,6.288138,6.288138,0
2020-04-06,6.319100,6.421832,6.307799,6.331424,6.331424,0
2020-04-07,6.367700,6.375489,6.277600,6.368800,6.368800,0
2020-04-08,6.303117,6.396600,6.286622,6.300044,6.300044,0
2020-04-09,6.370460,6.445162,6.289987,6.377300,6.377300,0
2020-04-10,6.471400,6.506551,6.443800,6.470984,6.470984,0
2020-04-13,6.482400,6.588541,6.442057,6.473000,6.473000,0
2020-04-14,6.572727,6.626055,6.543557,6.578200,6.578200,0
2020-04-15,6.618244,6.665400,6.585249,6.618795,6.618795,0
2020-04-16,6.623272,6.659050,6.579800,6.633729,6.633729,0
2020-04-17,6.582916,6.655136,6.548998,6.584805,6.584805,0
2020-04-20,6.549500,6.627200,6.547600,6.548100,6.548100,0
2020-04-21,6.611840,6.703142,6.566156,6.618637,6.618637,0
2020-04-22,6.673626,6.818122,6.634873,6.659272,6.659272,0
2020-04-23,6.795481,6.809398,6.738307,6.792159,6.792159,0
2020-04-24,6.772081,6.808495,6.735150,6.780200,6.780200,0
2020-04-27,6.793500,6.867617,6.792200,6.794300,6.794300,0
2020-04-28,6.757855,6.819143,6.725504,6.763000,6.763000,0
2020-04-29,6.769062,6.803200,6.738893,6.766500,6.766500,0
2020-04-30,6.757200,6.765500,6.681189,6.752200,6.752200,0
2020-05-01,6.658000,6.658000,6.619227,6.659450,6.659450,0
2020-05-04,6.653993,6.687496,6.626648,6.650700,6.650700,0
2020-05-05,6.631464,6.654159,6.608300,6.634490,6.634490,0
2020-05-06,6.591800,6.630446,6.583400,6.592500,6.592500,0
2020-05-07,6.572300,6.662203,6.568952,6.562212,6.562212,0
2020-05-08,6.656184,6.679549,6.645178,6.653900,6.653900,0
2020-05-11,6.672300,6.698028,6.599878,6.672700,6.672700,0
2020-05-12,6.672500,6.687351,6.603664,6.670545,6.670545,0
2020-05-13,6.559679,6.596494,6.526458,6.561207,6.561207,0
2020-05-14,6.547700,6.587939,6.539393,6.551800,6.551800,0
2020-05-15,6.564924,6.588735,6.541800,6.561621,6.561621,0
2020-05-18,6.565100,6.580895,6.527500,6.576217,6.576217,0
2020-05-19,6.539500,6.567854,6.507261,6.537493,6.537493,0
2020-05-20,6.523588,6.555881,6.510943,6.520481,6.520481,0
2020-05-21,6.523708,6.544775,6.511200,6.525151,6.525151,0
2020-05-22,6.530218,6.579237,6.520676,6.528739,6.528739,0
2020-05-25,6.541700,6.584000,6.530815,6.540428,6.540428,0
2020-05-26,6.583482,6.604261,6.562422,6.582600,6.582600,0
2020-05-27,6.571506,6.593810,6.508566,6.569800,6.569800,0
2020-05-28,6.521051,6.544152,6.506509,6.523100,6.523100,0
2020-05-29,6.486700,6.501200,6.433700,6.485600,6.485600,0
2020-06-01,6.480777,6.542363,6.477900,6.478178,6.478178,0
2020-06-02,6.540347,6.573900,6.515948,6.531856,6.531856,0
2020-06-03,6.584000,6.618100,6.532400,6.582600,6.582600,0
2020-06-04,6.548209,6.557982,6.491587,6.546393,6.546393,0
2020-06-05,6.488411,6.514288,6.470422,6.489814,6.489814,0
2020-06-08,6.473000,6.495609,6.458800,6.485542,6.485542,0
2020-06-09,6.487981,6.506676,6.447262,6.491700,6.491700,0
2020-06-10,6.441036,6.555088,6.420600,6.438680,6.438680,0
2020-06-11,6.500726,6.566000,6.475573,6.504100,6.504100,0
2020-06-12,6.575979,6.616637,6.566013,6.583576,6.583576,0
2020-06-15,6.612000,6.652645,6.568787,6.609762,6.609762,0
2020-06-16,6.613300,6.614884,6.563447,6.611800,6.611800,0
2020-06-17,6.586321,6.597857,6.560100,6.586648,6.586648,0
2020-06-18,6.551367,6.568585,6.500392,6.553766,6.553766,0
2020-06-19,6.537812,6.591270,6.503386,6.537261,6.537261,0
2020-06-22,6.593000,6.634305,6.582084,6.593800,6.593800,0
2020-06-23,6.623843,6.656633,6.581567,6.621972,6.621972,0
2020-06-24,6.608003,6.626260,6.577002,6.605800,6.605800,0
2020-06-25,6.635796,6.676749,6.623827,6.636094,6.636094,0
2020-06-26,6.650700,6.675149,6.630740,6.648986,6.648986,0
2020-06-29,6.660500,6.671400,6.617498,6.659200,6.659200,0
2020-06-30,6.642456,6.684200,6.629450,6.642661,6.642661,0
2020-07-01,6.638200,6.652769,6.579514,6.639994,6.639994,0
2020-07-02,6.574600,6.604522,6.541100,6.570198,6.570198,0
2020-07-03,6.591521,6.610725,6.574968,6.591300,6.591300,0
2020-07-06,6.582100,6.619100,6.533347,6.582735,6.582735,0
2020-07-07,6.535803,6.586100,6.529755,6.538042,6.538042,0
2020-07-08,6.583595,6.593900,6.547100,6.578422,6.578422,0
2020-07-09,6.543180,6.581561,6.522957,6.543813,6.543813,0
2020-07-10,6.585620,6.611516,6.552392,6.583600,6.583600,0
2020-07-13,6.553583,6.584500,6.535396,6.554900,6.554900,0
2020-07-14,6.550595,6.571200,6.537294,6.551300,6.551300,0
2020-07-15,6.541900,6.558633,6.515800,6.541300,6.541300,0
2020-07-16,6.502277,6.526785,6.478942,6.496200,6.496200,0
2020-07-17,6.484909,6.504010,6.471234,6.465977,6.465977,0
2020-07-20,6.500929,6.506513,6.467601,6.495000,6.495000,0
2020-07-21,6.474100,6.501177,6.457472,6.474062,6.474062,0
2020-07-22,6.481725,6.542400,6.471324,6.492990,6.492990,0
2020-07-23,6.533804,6.548400,6.507575,6.539418,6.539418,0
2020-07-24,6.538448,6.553363,6.511496,6.543500,6.543500,0
2020-07-27,6.497343,6.506128,6.470593,6.499000,6.499000,0
2020-07-28,6.494700,6.527864,6.479869,6.494685,6.494685,0
2020-07-29,6.527717,6.542753,6.490100,6.527109,6.527109,0
2020-07-30,6.484297,6.533400,6.472951,6.470674,6.470674,0
2020-07-31,6.521100,6.538200,6.486967,6.517600,6.517600,0
2020-08-03,6.504000,6.522539,6.475352,6.504028,6.504028,0
2020-08-04,6.489944,6.531300,6.486872,6.496490,6.496490,0
2020-08-05,6.523134,6.530026,6.444694,6.518728,6.518728,0
2020-08-06,6.434884,6.491950,6.418403,6.436100,6.436100,0
2020-08-07,6.488500,6.506955,6.472199,6.489124,6.489124,0
2020-08-10,6.481065,6.481065,6.454952,6.478000,6.478000,0
2020-08-11,6.466365,6.471500,6.419073,6.465154,6.465154,0
2020-08-12,6.444186,6.447600,6.381600,6.437250,6.437250,0
2020-08-13,6.397790,6.406492,6.355622,6.398100,6.398100,0
2020-08-14,6.348600,6.389500,6.338690,6.343887,6.343887,0
2020-08-17,6.384400,6.396978,6.358914,6.384303,6.384303,0
2020-08-18,6.379900,6.404695,6.363691,6.378881,6.378881,0
2020-08-19,6.394105,6.424400,6.390422,6.400860,6.400860,0
