Date,Close,High,Low,Open,Volume
15/10/2021,141.9555206,142.0143233,140.6520057,140.9068374,67940300
18/10/2021,143.631485,143.9157031,140.3089968,140.593215,85589200
19/10/2021,145.7974548,146.1992933,143.6314751,144.0823059,76378900
20/10/2021,146.2875214,146.7677685,145.1702248,145.738676,58418800
21/10/2021,146.5030975,146.6599147,144.9251601,145.8464424,61421000
22/10/2021,145.7288971,147.1892147,145.6798898,146.7089825,58883400
25/10/2021,145.6798706,146.3953286,144.6801795,145.7190674,50720600
26/10/2021,146.3463287,147.8360475,146.0424898,146.3561242,60893400
27/10/2021,145.8856659,146.7481306,145.5328347,146.3855039,56094900
28/10/2021,149.5316162,150.1196584,146.7383672,146.8363817,100077900
29/10/2021,146.8167725,146.9539838,143.4942841,144.2881507,124953200
01/11/2021,145.9934692,146.7187226,144.856567,146.0228706,74588300
02/11/2021,147.0323944,148.5515295,145.6896674,145.6994779,69122000
03/11/2021,148.4731293,148.943566,146.8363886,147.3950294,54511500
04/11/2021,147.9537048,149.3944167,147.6400703,148.561353,60394600
05/11/2021,148.4836884,149.386681,147.286238,149.0824135,65463900
08/11/2021,147.6592102,148.7683276,147.384387,148.6112815,55020900
09/11/2021,148.0223541,148.630889,147.2862175,147.4236291,56787900
10/11/2021,145.1857758,147.3549317,145.1170775,147.2469644,65187100
11/11/2021,145.1367188,146.6678808,144.9502284,146.2065822,41000000
12/11/2021,147.217514,147.619924,144.7539006,145.6863373,63804000
15/11/2021,147.2273407,149.0725948,146.6678696,147.5904967,59222800
16/11/2021,148.2088776,148.6898257,146.5795578,147.1684733,59256200
17/11/2021,150.6528015,152.1348844,148.1990131,148.2088228,88807000
18/11/2021,154.9518585,155.737074,150.2209613,150.8687651,137827700
19/11/2021,157.5823364,158.04365,153.6366394,154.7359321,117305600
22/11/2021,158.0436554,162.6371415,158.0240209,158.6914443,117467900
23/11/2021,158.4264069,158.8091973,156.1198396,158.141759,96041900
24/11/2021,158.94664,159.1429401,156.6891511,157.778634,69463600
26/11/2021,153.9114532,157.4841693,153.4697742,156.6204458,76959800
29/11/2021,157.2780762,158.2105131,155.8548665,156.4241474,88748200
30/11/2021,162.2445374,162.460472,156.9639784,157.0326917,174048100
01/12/2021,161.7243195,167.1520992,161.4887503,164.3842182,152052500
02/12/2021,160.7330017,161.164871,154.8831767,155.8058038,136739200
03/12/2021,158.8484802,161.9108191,156.767672,160.988192,118023100
06/12/2021,162.2641754,164.7768531,161.2433907,161.2532005,107497000
07/12/2021,168.0158539,168.4084692,165.2283528,165.9546799,120405400
08/12/2021,171.8437805,172.7075192,167.5447367,168.948312,116998900
09/12/2021,171.3333588,173.4828803,170.7051894,171.6768952,108923700
10/12/2021,176.1329651,176.3096457,171.4609564,171.9713487,115402700
13/12/2021,172.4915619,178.7634462,172.285437,177.7721058,153237000
14/12/2021,171.1075897,174.454561,169.0267818,172.0105821,139380400
15/12/2021,175.9857483,176.1820484,169.1249489,171.8731956,131063300
16/12/2021,169.0758514,177.7917137,167.5937685,175.9660943,150185800
17/12/2021,167.9765778,170.2635109,166.5533831,166.7889373,195432700
20/12/2021,166.6122742,167.4269339,164.36461,165.169445,107499100
21/12/2021,169.7923889,169.9984988,165.9939134,168.3888138,91185900
22/12/2021,172.3933868,172.6093215,168.9678923,169.8414405,92135300
23/12/2021,173.0215607,173.5810317,172.0302354,172.5995162,68356600
27/12/2021,176.9967041,177.0850369,173.7969687,173.8165883,74919600
28/12/2021,175.9758911,177.9781909,175.2299448,176.8298197,79144300
29/12/2021,176.06427,177.2911645,174.8471853,176.0151912,62348900
30/12/2021,174.9060974,177.2322998,174.7981301,176.1526266,59773000
